Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0.0,3.0,22.0,1.0,0.0,7.25,1.0,0.0,1.0
1.0,1.0,38.0,1.0,0.0,71.2833,0.0,0.0,0.0
1.0,3.0,26.0,0.0,0.0,7.925,0.0,0.0,1.0
1.0,1.0,35.0,1.0,0.0,53.1,0.0,0.0,1.0
0.0,3.0,35.0,0.0,0.0,8.05,1.0,0.0,1.0
0.0,3.0,30.730289775625117,0.0,0.0,8.4583,1.0,1.0,0.0
0.0,1.0,54.0,0.0,0.0,51.8625,1.0,0.0,1.0
0.0,3.0,2.0,3.0,1.0,21.075,1.0,0.0,1.0
1.0,3.0,27.0,0.0,2.0,11.1333,0.0,0.0,1.0
1.0,2.0,14.0,1.0,0.0,30.0708,0.0,0.0,0.0
1.0,3.0,4.0,1.0,1.0,16.7,0.0,0.0,1.0
1.0,1.0,58.0,0.0,0.0,26.55,0.0,0.0,1.0
0.0,3.0,20.0,0.0,0.0,8.05,1.0,0.0,1.0
0.0,3.0,39.0,1.0,5.0,31.275,1.0,0.0,1.0
0.0,3.0,14.0,0.0,0.0,7.8542,0.0,0.0,1.0
1.0,2.0,55.0,0.0,0.0,16.0,0.0,0.0,1.0
0.0,3.0,2.0,4.0,1.0,29.125,1.0,1.0,0.0
1.0,2.0,30.698666204721956,0.0,0.0,13.0,1.0,0.0,1.0
0.0,3.0,31.0,1.0,0.0,18.0,0.0,0.0,1.0
1.0,3.0,21.751290909569096,0.0,0.0,7.225,0.0,0.0,0.0
0.0,2.0,35.0,0.0,0.0,26.0,1.0,0.0,1.0
1.0,2.0,34.0,0.0,0.0,13.0,1.0,0.0,1.0
1.0,3.0,15.0,0.0,0.0,8.0292,0.0,1.0,0.0
1.0,1.0,28.0,0.0,0.0,35.5,1.0,0.0,1.0
0.0,3.0,8.0,3.0,1.0,21.075,0.0,0.0,1.0
1.0,3.0,38.0,1.0,5.0,31.3875,0.0,0.0,1.0
0.0,3.0,27.982413810099565,0.0,0.0,7.225,1.0,0.0,0.0
0.0,1.0,19.0,3.0,2.0,263.0,1.0,0.0,1.0
1.0,3.0,24.505921400399643,0.0,0.0,7.8792,0.0,1.0,0.0
0.0,3.0,29.102728060062166,0.0,0.0,7.8958,1.0,0.0,1.0
0.0,1.0,40.0,0.0,0.0,27.7208,1.0,0.0,0.0
1.0,1.0,31.85034797465058,1.0,0.0,146.5208,0.0,0.0,0.0
1.0,3.0,24.50742836753728,0.0,0.0,7.75,0.0,1.0,0.0
0.0,2.0,66.0,0.0,0.0,10.5,1.0,0.0,1.0
0.0,1.0,28.0,1.0,0.0,82.1708,1.0,0.0,0.0
0.0,1.0,42.0,1.0,0.0,52.0,1.0,0.0,1.0
1.0,3.0,21.784525036826604,0.0,0.0,7.2292,1.0,0.0,0.0
0.0,3.0,21.0,0.0,0.0,8.05,1.0,0.0,1.0
0.0,3.0,18.0,2.0,0.0,18.0,0.0,0.0,1.0
1.0,3.0,14.0,1.0,0.0,11.2417,0.0,0.0,0.0
0.0,3.0,40.0,1.0,0.0,9.475,0.0,0.0,1.0
0.0,2.0,27.0,1.0,0.0,21.0,0.0,0.0,1.0
0.0,3.0,27.974589711369475,0.0,0.0,7.8958,1.0,0.0,0.0
1.0,2.0,3.0,1.0,2.0,41.5792,0.0,0.0,0.0
1.0,3.0,19.0,0.0,0.0,7.8792,0.0,1.0,0.0
0.0,3.0,29.100929497116162,0.0,0.0,8.05,1.0,0.0,1.0
0.0,3.0,26.665311562998845,1.0,0.0,15.5,1.0,1.0,0.0
1.0,3.0,24.50742836753728,0.0,0.0,7.75,0.0,1.0,0.0
0.0,3.0,19.848132435817334,2.0,0.0,21.6792,1.0,0.0,0.0
0.0,3.0,18.0,1.0,0.0,17.8,0.0,0.0,1.0
0.0,3.0,7.0,4.0,1.0,39.6875,1.0,0.0,1.0
0.0,3.0,21.0,0.0,0.0,7.8,1.0,0.0,1.0
1.0,1.0,49.0,1.0,0.0,76.7292,0.0,0.0,0.0
1.0,2.0,29.0,1.0,0.0,26.0,0.0,0.0,1.0
0.0,1.0,65.0,0.0,1.0,61.9792,1.0,0.0,0.0
1.0,1.0,38.28954244003164,0.0,0.0,35.5,1.0,0.0,1.0
1.0,2.0,21.0,0.0,0.0,10.5,0.0,0.0,1.0
0.0,3.0,28.5,0.0,0.0,7.2292,1.0,0.0,0.0
1.0,2.0,5.0,1.0,2.0,27.75,0.0,0.0,1.0
0.0,3.0,11.0,5.0,2.0,46.9,1.0,0.0,1.0
0.0,3.0,22.0,0.0,0.0,7.2292,1.0,0.0,0.0
1.0,1.0,38.0,0.0,0.0,80.0,0.0,0.0,0.0
0.0,1.0,45.0,1.0,0.0,83.475,1.0,0.0,1.0
0.0,3.0,4.0,3.0,2.0,27.9,1.0,0.0,1.0
0.0,1.0,43.449979161013886,0.0,0.0,27.7208,1.0,0.0,0.0
1.0,3.0,16.85066425635062,1.0,1.0,15.2458,1.0,0.0,0.0
1.0,2.0,29.0,0.0,0.0,10.5,0.0,0.0,1.0
0.0,3.0,19.0,0.0,0.0,8.1583,1.0,0.0,1.0
1.0,3.0,17.0,4.0,2.0,7.925,0.0,0.0,1.0
0.0,3.0,26.0,2.0,0.0,8.6625,1.0,0.0,1.0
0.0,2.0,32.0,0.0,0.0,10.5,1.0,0.0,1.0
0.0,3.0,16.0,5.0,2.0,46.9,0.0,0.0,1.0
0.0,2.0,21.0,0.0,0.0,73.5,1.0,0.0,1.0
0.0,3.0,26.0,1.0,0.0,14.4542,1.0,0.0,0.0
1.0,3.0,32.0,0.0,0.0,56.4958,1.0,0.0,1.0
0.0,3.0,25.0,0.0,0.0,7.65,1.0,0.0,1.0
0.0,3.0,29.102728060062166,0.0,0.0,7.8958,1.0,0.0,1.0
0.0,3.0,29.100929497116162,0.0,0.0,8.05,1.0,0.0,1.0
1.0,2.0,0.83,0.0,2.0,29.0,1.0,0.0,1.0
1.0,3.0,30.0,0.0,0.0,12.475,0.0,0.0,1.0
0.0,3.0,22.0,0.0,0.0,9.0,1.0,0.0,1.0
1.0,3.0,29.0,0.0,0.0,9.5,1.0,0.0,1.0
1.0,3.0,24.506990973824735,0.0,0.0,7.7875,0.0,1.0,0.0
0.0,1.0,28.0,0.0,0.0,47.1,1.0,0.0,1.0
1.0,2.0,17.0,0.0,0.0,10.5,0.0,0.0,1.0
1.0,3.0,33.0,3.0,0.0,15.85,0.0,0.0,1.0
0.0,3.0,16.0,1.0,3.0,34.375,1.0,0.0,1.0
0.0,3.0,29.100929497116162,0.0,0.0,8.05,1.0,0.0,1.0
1.0,1.0,23.0,3.0,2.0,263.0,0.0,0.0,1.0
0.0,3.0,24.0,0.0,0.0,8.05,1.0,0.0,1.0
0.0,3.0,29.0,0.0,0.0,8.05,1.0,0.0,1.0
0.0,3.0,20.0,0.0,0.0,7.8542,1.0,0.0,1.0
0.0,1.0,46.0,1.0,0.0,61.175,1.0,0.0,1.0
0.0,3.0,26.0,1.0,2.0,20.575,1.0,0.0,1.0
0.0,3.0,59.0,0.0,0.0,7.25,1.0,0.0,1.0
0.0,3.0,29.100929497116162,0.0,0.0,8.05,1.0,0.0,1.0
0.0,1.0,71.0,0.0,0.0,34.6542,1.0,0.0,0.0
1.0,1.0,23.0,0.0,1.0,63.3583,1.0,0.0,0.0
1.0,2.0,34.0,0.0,1.0,23.0,0.0,0.0,1.0
0.0,2.0,34.0,1.0,0.0,26.0,1.0,0.0,1.0
0.0,3.0,28.0,0.0,0.0,7.8958,0.0,0.0,1.0
0.0,3.0,29.102728060062166,0.0,0.0,7.8958,1.0,0.0,1.0
0.0,1.0,21.0,0.0,1.0,77.2875,1.0,0.0,1.0
0.0,3.0,33.0,0.0,0.0,8.6542,1.0,0.0,1.0
0.0,3.0,37.0,2.0,0.0,7.925,1.0,0.0,1.0
0.0,3.0,28.0,0.0,0.0,7.8958,1.0,0.0,1.0
1.0,3.0,21.0,0.0,0.0,7.65,0.0,0.0,1.0
1.0,3.0,22.90629726583104,0.0,0.0,7.775,1.0,0.0,1.0
0.0,3.0,38.0,0.0,0.0,7.8958,1.0,0.0,1.0
1.0,3.0,20.33329651277357,1.0,0.0,24.15,0.0,1.0,0.0
